Timestamp,Building_ID,Building_Type,Energy_Usage_kWh,Occupancy_Level,Temperature,Humidity,Solar_Radiation,Battery_Level,Grid_Status,Critical_Load,Energy_Priority,Event_Type
2026-05-25 00:00,HC-001,Health Center,37.0,26,27.0,81.7,0.0,68,Stable,True,Critical,Normal
2026-05-25 00:00,SC-002,School,1.6,0,29.3,73.1,0.0,80,Stable,False,Low,Normal
2026-05-25 00:00,CC-003,Community Center,16.2,4,28.4,85.7,0.0,76,Stable,False,Low,Normal
2026-05-25 01:00,HC-001,Health Center,38.6,37,27.9,81.0,0.0,73,Stable,True,Critical,Normal
2026-05-25 01:00,SC-002,School,1.5,0,26.1,72.8,0.0,67,Stable,False,Low,Normal
2026-05-25 01:00,CC-003,Community Center,1.2,0,26.1,87.3,0.0,73,Stable,False,Low,Normal
2026-05-25 02:00,HC-001,Health Center,31.5,27,25.7,79.3,0.0,81,Stable,True,Critical,Normal
2026-05-25 02:00,SC-002,School,2.9,0,29.0,71.3,0.0,78,Stable,False,Low,Normal
2026-05-25 02:00,CC-003,Community Center,13.2,2,27.9,81.3,0.0,69,Stable,False,Low,Normal
2026-05-25 03:00,HC-001,Health Center,38.7,34,28.3,74.6,0.0,65,Stable,True,Critical,Normal
2026-05-25 03:00,SC-002,School,2.7,0,25.6,84.5,0.0,65,Stable,False,Low,Normal
2026-05-25 03:00,CC-003,Community Center,21.8,4,29.4,84.7,0.0,67,Stable,False,Low,Normal
2026-05-25 04:00,HC-001,Health Center,44.1,44,28.8,87.6,0.0,73,Stable,True,Critical,Normal
2026-05-25 04:00,SC-002,School,2.0,0,26.3,79.0,0.0,70,Stable,False,Low,Normal
2026-05-25 04:00,CC-003,Community Center,13.8,4,26.2,78.2,0.0,73,Stable,False,Low,Normal
2026-05-25 05:00,HC-001,Health Center,32.0,38,26.2,83.6,0.0,68,Stable,True,Critical,Normal
2026-05-25 05:00,SC-002,School,2.7,0,26.7,72.4,0.0,84,Stable,False,Low,Normal
2026-05-25 05:00,CC-003,Community Center,15.5,2,27.6,79.8,0.0,83,Stable,False,Low,Normal
2026-05-25 06:00,HC-001,Health Center,54.5,20,35.8,53.5,0.1,69,Stable,True,Critical,Normal
2026-05-25 06:00,SC-002,School,2.2,0,34.9,43.9,0.0,69,Stable,False,Low,Normal
2026-05-25 06:00,CC-003,Community Center,36.3,1,37.0,50.8,0.0,78,Stable,False,Low,Normal
2026-05-25 07:00,HC-001,Health Center,52.1,14,33.9,59.9,2.4,74,Stable,True,Critical,Normal
2026-05-25 07:00,SC-002,School,53.5,96,34.9,60.0,2.3,80,Stable,True,Medium,Normal
2026-05-25 07:00,CC-003,Community Center,35.2,4,35.4,44.1,2.5,70,Stable,False,Low,Normal
2026-05-25 08:00,HC-001,Health Center,56.1,31,36.0,43.9,4.4,91,Stable,True,Critical,Normal
2026-05-25 08:00,SC-002,School,65.9,133,38.1,47.5,4.6,94,Stable,True,Medium,Normal
2026-05-25 08:00,CC-003,Community Center,34.3,4,34.3,60.4,4.4,89,Stable,False,Low,Normal
2026-05-25 09:00,HC-001,Health Center,58.5,21,36.3,44.7,6.5,99,Stable,True,Critical,Normal
2026-05-25 09:00,SC-002,School,66.1,129,36.9,57.1,6.5,96,Stable,True,Medium,Normal
2026-05-25 09:00,CC-003,Community Center,1.8,0,33.3,44.1,6.1,94,Stable,False,Low,Normal
2026-05-25 10:00,HC-001,Health Center,59.1,36,36.9,55.1,7.9,89,Stable,True,Critical,Normal
